,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04.01.2010,05.04.2010,06.07.2010,05.10.2010,03.01.2011,07.02.2011,01.03.2011,25.04.2011,04.05.2011,10.06.2011,11.07.2011,09.08.2011,16.09.2011,18.10.2011,08.11.2011,05.12.2011,17.01.2012,09.02.2012,12.03.2012,17.04.2012,11.05.2012,11.06.2012,05.07.2012,17.08.2012,07.09.2012,10.10.2012,01.11.2012,24.12.2012,14.01.2013,18.02.2013,07.03.2013,19.04.2013,08.05.2013,24.06.2013,17.07.2013,14.08.2013,25.09.2013,18.10.2013,01.11.2013,19.12.2013,07.01.2014,26.02.2014,28.03.2014,30.04.2014,28.05.2014,06.06.2014,04.07.2014,19.08.2014,19.09.2014,29.10.2014,26.11.2014,17.12.2014,22.01.2015,25.02.2015,09.03.2015,07.04.2015,22.05.2015,09.06.2015,15.07.2015,20.08.2015,10.09.2015,29.10.2015,18.11.2015,04.12.2015,13/01/2016,10/02/2016,14/03/2016,12/04/2016,17/05/2016,09/06/2016,19/07/2016,09/08/2016,14/09/2016,17/10/2016,16/11/2016,01/12/2016,11/01/2017,21/02/2017,20/03/2017,10/04/2017,11/05/2017,22/06/2017,12/07/2017,04/08/2017,05/09/2017,09/10/2017,14/11/2017,09/12/2017,21/01/2018,06/02/2018,07/03/2018,04/04/2018,05/05/2018,06/06/2018,08/07/2018,09/08/2018,29/09/2018,26/10/2018,02/11/2018,27/12/2018,14/01/2019,26/02/2019,01/03/2019,22/04/2019,17/05/2019,19/06/2019,19/07/2019,13/08/2019,11/09/2019,13/10/2019,14/11/2019,19/12/2019,10/01/2020,14/02/2020,04/03/2020,13/04/2020,20/05/2020,16.06.2020,20.07.2020,17.08.2020,23.09.2020,09.10.2020,13.11.2020,10.12.2020,21.01.2021,18.02.2021,16.03.2021,20.04.2021,18.06.2021,22.07.2021,18.06.20210.,22.09.2021,13.10.2021,08.11.2021
a-BHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIL,,,,,,,,,,,,    NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-Endosulphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,    NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anilophos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,     NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b-Endosulphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,      NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorpyriphos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,      NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dieldrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,        NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"o,p-DDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  NT,,,,,,,,,,,,        NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p,p-DDT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,          NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g-BHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,     NT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malathion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,        BDL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  BDL,,,,,,,,,,,,         BDL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
